feature,importance
vendor_clearance_rate_36m,5868.1811846494675
dam_progeny_median_price,5335.975638180971
vendor_median_price_36m,5077.748257488012
sire_median_price_12m,4800.615313619375
vendor_sold_count_36m,4525.493656665087
sire_clearance_rate_36m,4461.488665252924
session_median_price,4371.238011032343
vendor_total_offered_36m,4193.058522224426
sire_clearance_rate_12m,4141.319073945284
sire_sold_count_36m,3683.9210202395916
sire_median_price_36m,3553.541928112507
sire_total_offered_36m,3450.5127171576023
sire_total_offered_12m,3022.783428043127
sire_momentum,2947.816870689392
sire_sold_count_12m,2922.6822606623173
sex_encoded,1828.915390342474
log_sire_median_price_12m,1629.4105615317822
dam_progeny_total_offered_count,1403.436941176653
log_dam_progeny_median_price,1094.587498396635
dam_progeny_sold_count,1087.9513394534588
log_session_median_price,1076.3429088294506
log_sire_median_price_36m,982.4185018241405
log_vendor_median_price_36m,969.4280774593353
sale_company_encoded,595.6855657100677
vendor_volume_bucket_encoded,280.6472891867161
vendor_first_seen_flag,10.972276210784912
sire_sample_flag_36m,2.9300400018692017
dam_first_foal_flag,2.753296971321106
